GridSize,IWFirstEpisode,Regret,MountainCar_mu1_higher,IWMin,DenMISELogLast,MountainCar_std0_higher,IWMax,DenMISEMeanLog,IWLastEpisode,ActionIn1,NumTrajectories,IWMean,Regret/t,AvgEpLen,NumTrainableParams,Delta,TimestepsSoFar,ReturnLastEpisode,ReturnMin,ReturnAbsMax,MinEpLen,ReturnMean,Iteration,Bound,DenMISELogFirst,MountainCar_std1_higher,ReturnStepMax,TimeElapsed,MountainCar_mu0_higher,ReturnMax
1,5.1093996e-20,5.0059967,-10.0,,1.6504701,0.14999999,5.1093996e-20,1.6504701,5.1093996e-20,-10.832827,1,5.1093996e-20,5.0059967,999.0,2,0.060792707,999,-0.005996606,-0.005996606,0.005996606,999,-0.005996606,1,inf,1.6504701,1.5,0.06037316,0.41897034645080566,-1.0,
4,1.0218824e-19,11.637262,-10.0,,0.9513593,0.14999999,0.23813374,0.9543411,0.23813374,-11.5212965,2,0.11906687,5.818631,999.0,,0.0060792705,1998,-1.6312659,-1.6312659,1.6312659,999,-0.81863123,2,inf,0.95732296,1.5,16.516813,0.96571946144104,-1.0,
4,1.532822e-19,18.53166,-10.0,,-4.2329164,0.14999999,45.881893,-0.8140057,45.881893,-7.881773,3,15.3534975,6.17722,999.0,,0.0027018983,2997,-1.894397,-1.894397,1.894397,999,-1.1772199,3,inf,0.5518578,1.5,19.279865,1.3734726905822754,-1.0,
4,2.0437618e-19,24.756824,-10.0,,-56.64834,0.14999999,1.4748071e+23,-14.785618,1.4748071e+23,-11.1175585,4,3.6870178e+22,6.189206,999.0,,0.0015198176,3996,-1.2251658,-1.894397,1.894397,999,-1.1892064,4,inf,0.26417577,1.5,19.279865,1.786548376083374,-1.0,
4,2.5547047e-19,31.536045,-10.0,,1.1783853,0.14999999,1.8435037e+23,-11.656259,0.21033578,-11.534153,5,3.6870074e+22,6.307209,999.0,,0.0009726833,4995,-1.7792197,-1.894397,1.894397,999,-1.307209,5,inf,0.041032206,1.5,19.279865,2.201697826385498,-1.0,
4,3.06564e-19,38.14875,-10.0,,-6.767475,0.14999999,2.2122085e+23,-10.8818245,489.3337,-11.627556,6,3.6870141e+22,6.3581247,999.0,,0.0006754746,5994,-1.6127034,-1.894397,1.894397,999,-1.3581247,6,inf,-0.14128935,1.5,19.279865,2.6102371215820312,-1.0,
4,3.5765842e-19,44.944405,-10.0,,-7.5474257,0.14999999,2.5809032e+23,-10.433427,1209.8276,-11.158888,7,3.6870047e+22,6.420629,999.0,,0.00049626693,6993,-1.795655,-1.894397,1.894397,999,-1.4206291,7,inf,-0.29544002,1.5,19.279865,3.000201463699341,-1.0,
4,4.0875176e-19,51.954327,-10.0,,1.4893141,0.14999999,2.9496099e+23,-8.96358,0.15209717,-9.396262,8,3.6870123e+22,6.494291,999.0,,0.0003799544,7992,-2.0099242,-2.0099242,2.0099242,999,-1.494291,8,inf,-0.4289714,1.5,20.341354,3.4174816608428955,-1.0,
9,4.598455e-19,58.803226,-10.0,,-54.444706,0.14999999,3.31831e+23,-14.032714,1.7730965e+23,-10.461142,9,5.6571183e+22,6.533692,999.0,,0.00015010545,8991,-1.848899,-2.0099242,2.0099242,999,-1.5336919,9,inf,-0.5467545,1.5,20.341354,3.8268070220947266,-1.0,
9,5.109402e-19,64.7449,-10.0,,-1.5304755,0.14999999,3.687016e+23,-12.795413,0.29409856,-13.252996,10,5.4478252e+22,6.47449,999.0,,0.00012158541,9990,-0.94167703,-2.0099242,2.0099242,999,-1.4744904,10,inf,-0.652115,1.5,20.341354,4.312536239624023,-1.0,
9,5.620343e-19,71.206795,-10.0,,-57.65994,0.14999999,1.2994496e+24,-16.884424,1.2994496e+24,-10.481092,11,1.70919e+23,6.473345,999.0,,0.00010048381,10989,-1.4618917,-2.0099242,2.0099242,999,-1.4733449,11,inf,-0.74742514,1.5,20.341354,4.763468980789185,-1.0,
9,6.1312943e-19,78.169586,-10.0,,-4.6671834,0.14999999,1.4175785e+24,-15.882843,69.68617,-13.566661,12,1.6952401e+23,6.514132,999.0,,8.443432e-05,11988,-1.9627876,-2.0099242,2.0099242,999,-1.5141319,12,inf,-0.83443654,1.5,20.341354,5.1457600593566895,-1.0,
9,6.6422174e-19,84.86517,-10.0,,-57.826992,0.14999999,1.911341e+24,-19.123196,1.911341e+24,-11.136688,13,3.153805e+23,6.5280905,999.0,,7.1944036e-05,12987,-1.6955904,-2.0099242,2.0099242,999,-1.5280902,13,inf,-0.91447926,1.5,20.341354,5.569275617599487,-1.0,
9,7.153158e-19,91.5674,-10.0,,1.0249486,0.14999999,2.0583674e+24,-17.701584,0.23680303,-8.89352,14,3.14385e+23,6.5405283,999.0,,6.203337e-05,13986,-1.7022195,-2.0099242,2.0099242,999,-1.5405282,14,inf,-0.9885872,1.5,20.341354,6.012294054031372,-1.0,
9,7.664096e-19,98.48462,-10.0,,-57.970093,0.14999999,3.9392094e+24,-20.401285,3.9392094e+24,-10.993169,15,5.7614154e+23,6.5656414,999.0,,5.403797e-05,14985,-1.917228,-2.0099242,2.0099242,999,-1.5656415,15,inf,-1.0575801,1.5,20.341354,6.43025803565979,-1.0,
9,8.175055e-19,105.38505,-10.0,,1.8815325,0.14999999,4.2018172e+24,-19.026114,0.10745068,-10.231164,16,5.753946e+23,6.5865655,999.0,,4.74943e-05,15984,-1.9004287,-2.0099242,2.0099242,999,-1.5865656,16,inf,-1.1221186,1.5,20.341354,6.832896709442139,-1.0,
9,8.685984e-19,112.235016,-10.0,,-11.018686,0.14999999,4.4644415e+24,-18.570484,37887.68,-9.942832,17,5.7474074e+23,6.60206,999.0,,4.2071075e-05,16983,-1.8499691,-2.0099242,2.0099242,999,-1.60206,17,inf,-1.1827432,1.5,20.341354,7.256897926330566,-1.0,
9,9.196933e-19,119.84411,-10.0,,-35.685894,0.14999999,4.7270424e+24,-19.53499,507609230000000.0,-9.736839,18,5.741592e+23,6.658006,999.0,,3.7526363e-05,17982,-2.6090896,-2.6090896,2.6090896,999,-1.6580061,18,inf,-1.2399017,1.5,26.28789,7.685550212860107,-1.0,
