MountainCar_mu0_higher,IWLastEpisode,ReturnStepMax,DenMISELogFirst,ReturnAbsMax,Iteration,MountainCar_std1_higher,ReturnMax,ReturnLastEpisode,ReturnMin,IWMean,NumTrajectories,Regret,NumTrainableParams,MinEpLen,DenMISELogLast,IWFirstEpisode,GridSize,TimestepsSoFar,MountainCar_mu1_higher,DenMISEMeanLog,Delta,Bound,AvgEpLen,Regret/t,IWMin,ActionIn1,TimeElapsed,IWMax,ReturnMean,MountainCar_std0_higher
-1.0,1.3022397e-19,0.067981154,-5.6232686,0.0068483828,1,1.5,,-0.0068483828,-0.0068483828,1.3022397e-19,1,5.0068483,2,999,-5.6232686,1.3022397e-19,1,999,-10.0,-5.6232686,0.060792707,inf,999.0,5.0068483,,-9.943268,0.441699743270874,1.3022397e-19,-0.0068483828,0.14999999
-1.0,1881068800000.0,22.422834,-6.316416,2.2354293,2,1.5,,-2.2354293,-2.2354293,940534400000.0,2,12.242277,,999,-29.172567,2.6044756e-19,4,1998,-10.0,-17.744492,0.0060792705,inf,999.0,6.1211386,,-12.281057,0.9107999801635742,1881068800000.0,-1.1211388,0.14999999
-1.0,1285647700000000.0,22.422834,-6.721881,2.2354293,3,1.5,,-1.8263737,-2.2354293,429019500000000.0,3,19.068651,,999,-35.509193,3.906725e-19,4,2997,-10.0,-23.70532,0.0027018983,inf,999.0,6.356217,,-10.182238,1.2962355613708496,1285647700000000.0,-1.356217,0.14999999
-1.0,42.695545,22.422834,-7.009563,2.2354293,4,1.5,,-1.0105472,-2.2354293,286013100000000.0,4,25.079199,,999,-6.235061,5.2089636e-19,4,3996,-10.0,-19.350784,0.0015198176,inf,999.0,6.2697997,,-10.0960455,1.6489319801330566,1142798500000000.0,-1.2697996,0.14999999
-1.0,173543.61,22.422834,-7.2327065,2.2354293,5,1.5,,-1.5553691,-2.2354293,214510160000000.0,5,31.634567,,999,-12.785149,6.511211e-19,4,4995,-10.0,-18.043562,0.0009726833,inf,999.0,6.326914,,-14.016916,2.006643772125244,1071375160000000.0,-1.3269136,0.14999999
-1.0,3.290427e+23,25.029785,-7.415028,2.4871304,6,1.5,,-2.4871304,-2.4871304,5.4840454e+22,6,39.121696,,999,-57.053802,7.8134385e-19,4,5994,-10.0,-24.54844,0.0006754746,inf,999.0,6.520283,,-11.777303,2.365054130554199,3.290427e+23,-1.5202831,0.14999999
-1.0,9525.012,25.029785,-7.5691786,2.4871304,7,1.5,,-2.074885,-2.4871304,5.484031e+22,7,46.196583,,999,-9.702939,9.11569e-19,4,6993,-10.0,-22.4556,0.00049626693,inf,999.0,6.599512,,-9.659172,2.747859239578247,3.838822e+23,-1.5995119,0.14999999
-1.0,4.1679883e+16,25.029785,-7.70271,2.4871304,8,1.5,,-1.9248774,-2.4871304,5.484043e+22,8,53.12146,,999,-39.028435,1.0417913e-18,4,7992,-10.0,-24.5477,0.0003799544,inf,999.0,6.6401825,,-14.741287,3.119056224822998,4.387234e+23,-1.6401826,0.14999999
-1.0,1.6529852e+23,25.029785,-7.820493,2.4871304,9,1.5,,-1.4678786,-2.4871304,7.3206904e+22,9,59.58934,,999,-57.459267,1.1720146e-18,9,8991,-10.0,-28.220219,0.00015010545,inf,999.0,6.6210375,,-12.714096,3.620678186416626,4.935636e+23,-1.6210377,0.14999999
-1.0,1.2435612e+22,25.029785,-7.9258537,2.4871304,10,1.5,,-2.4137495,-2.4871304,7.4450577e+22,10,67.00309,,999,-52.332073,1.3022404e-18,9,9990,-10.0,-30.655558,0.00012158541,inf,999.0,6.700309,,-11.551128,4.075563192367554,5.484048e+23,-1.7003088,0.14999999
-1.0,96.06699,25.029785,-8.021164,2.4871304,11,1.5,,-1.8712639,-2.4871304,7.432682e+22,11,73.87435,,999,-4.979979,1.4324644e-18,9,10989,-10.0,-28.341059,0.00010048381,inf,999.0,6.71585,,-12.469429,4.532913446426392,6.032453e+23,-1.7158501,0.14999999
-1.0,3.5337723e+20,25.029785,-8.108175,2.4871304,12,1.5,,-1.8078654,-2.4871304,7.4254774e+22,12,80.68222,,999,-48.181976,1.5626914e-18,9,11988,-10.0,-30.010727,8.443432e-05,inf,999.0,6.723518,,-10.266595,5.009213209152222,6.580845e+23,-1.723518,0.14999999
-1.0,8.593064,25.029785,-8.188218,2.4871304,13,1.5,,-1.0363252,-2.4871304,7.4167864e+22,13,86.718544,,999,-4.378682,1.692911e-18,9,12987,-10.0,-28.052706,7.1944036e-05,inf,999.0,6.670657,,-7.923089,5.4819090366363525,7.1292566e+23,-1.670657,0.14999999
-1.0,5.8609896e+23,25.029785,-8.262326,2.4871304,14,1.5,,-2.39029,-2.4871304,1.1595842e+23,14,94.10883,,999,-57.9011,1.8231352e-18,9,13986,-10.0,-30.196398,6.203337e-05,inf,999.0,6.7220592,,-9.011117,6.010242700576782,7.677662e+23,-1.7220595,0.14999999
-1.0,3.9600164e+24,25.029785,-8.331319,2.4871304,15,1.5,,-2.0425985,-2.4871304,3.7989635e+23,15,101.15143,,999,-57.970093,1.9533587e-18,9,14985,-10.0,-32.062984,5.403797e-05,inf,999.0,6.7434287,,-11.962726,6.439993619918823,3.9600164e+24,-1.7434288,0.14999999
-1.0,2160414.5,25.029785,-8.395858,2.4871304,16,1.5,,-2.1400142,-2.4871304,3.79841e+23,16,108.29144,,999,-15.275011,2.0835875e-18,9,15984,-10.0,-31.031134,4.74943e-05,inf,999.0,6.768215,,-10.228084,6.930829763412476,4.2240113e+24,-1.7682154,0.14999999
-1.0,2529571300.0,27.878124,-8.456482,2.7706063,17,1.5,,-2.7706063,-2.7706063,3.797938e+23,17,116.06206,,999,-23.861582,2.2138085e-18,9,16983,-10.0,-30.624706,4.2071075e-05,inf,999.0,6.82718,,-7.655085,7.442059516906738,4.4880225e+24,-1.8271797,0.14999999
-1.0,1.01996134e+24,27.878124,-8.51364,2.7706063,18,1.5,,-1.9595917,-2.7706063,4.3641512e+23,18,123.021645,,999,-58.152412,2.3440348e-18,9,17982,-10.0,-32.1676,3.7526363e-05,inf,999.0,6.8345356,,-12.317422,7.9380412101745605,4.7520107e+24,-1.8345358,0.14999999
-1.0,9.142702e+16,27.878124,-8.567708,2.7706063,19,1.5,,-1.7016088,-2.7706063,4.3637845e+23,19,129.72325,,999,-39.8796,2.4742552e-18,9,18981,-10.0,-32.588627,3.368017e-05,inf,999.0,6.8275394,,-11.77849,8.444154024124146,5.0160225e+24,-1.8275396,0.14999999
-1.0,59390.695,27.878124,-8.619,2.7706063,20,1.5,,-1.8661638,-2.7706063,4.363444e+23,20,136.58942,,999,-11.472038,2.604477e-18,9,19980,-10.0,-31.546387,3.0396353e-05,inf,999.0,6.8294706,,-11.407313,8.921605587005615,5.280019e+24,-1.8294709,0.14999999
-1.0,4.199924,27.878124,-8.667791,2.7706063,21,1.5,,-1.8545508,-2.7706063,4.3631403e+23,21,143.44397,,999,-1.8186543,2.7347108e-18,9,20979,-10.0,-30.143057,2.7570388e-05,inf,999.0,6.830665,,-10.75386,9.36184048652649,5.544019e+24,-1.830665,0.14999999
-1.0,0.12808375,27.878124,-8.714311,2.7706063,22,1.5,,-1.4091434,-2.7706063,4.362865e+23,22,149.85312,,999,1.2031043,2.8649247e-18,9,21978,-10.0,-28.729376,2.5120953e-05,inf,999.0,6.8115053,,-7.9591384,9.802994728088379,5.8080214e+24,-1.8115051,0.14999999
-1.0,1.8648652e+24,27.878124,-8.758763,2.7706063,23,1.5,,-1.5609034,-2.7706063,5.173432e+23,23,156.41402,,999,-58.397537,2.9951515e-18,9,22977,-10.0,-30.02946,2.2984013e-05,inf,999.0,6.800609,,-11.114698,10.280307531356812,6.0720277e+24,-1.8006092,0.14999999
-1.0,0.21649657,27.878124,-8.801322,2.7706063,24,1.5,,-1.6817555,-2.7706063,5.1732078e+23,24,163.09576,,999,1.0755141,3.1253783e-18,9,23976,-10.0,-28.744574,2.110858e-05,inf,999.0,6.795657,,-11.610872,10.71687626838684,6.336035e+24,-1.795657,0.14999999
-1.0,5771.6934,27.878124,-8.842144,2.7706063,25,1.5,,-1.5717671,-2.7706063,5.1729956e+23,25,169.66754,,999,-9.312535,3.2555995e-18,9,24975,-10.0,-27.977545,1.9453666e-05,inf,999.0,6.786701,,-9.612738,11.192026138305664,6.6000306e+24,-1.7867013,0.14999999
-1.0,2.363985e+17,27.878124,-8.881365,2.7706063,26,1.5,,-1.8724173,-2.7706063,5.1727924e+23,26,176.53995,,999,-40.777493,3.3858173e-18,9,25974,-10.0,-28.479305,1.7986009e-05,inf,999.0,6.789998,,-9.815911,11.697948455810547,6.8640196e+24,-1.7899983,0.14999999
-1.0,2286427300000.0,27.878124,-8.919106,2.7706063,27,1.5,,-1.8719676,-2.7706063,5.1726266e+23,27,183.41193,,999,-29.114689,3.516049e-18,9,26973,-10.0,-28.511583,1.6678383e-05,inf,999.0,6.793034,,-9.976098,12.19228482246399,7.1280364e+24,-1.7930341,0.14999999
-1.0,2792195.0,27.878124,-8.955473,2.7706063,28,1.5,,-1.4397678,-2.7706063,5.1724533e+23,28,189.85168,,999,-15.809783,3.646279e-18,16,27972,-10.0,-28.066061,9.122555e-06,inf,999.0,6.7804174,,-12.13826,12.627998113632202,7.392022e+24,-1.7804176,0.14999999
-1.0,3661529300.0,27.878124,-8.990564,2.7706063,29,1.5,,-2.1401927,-2.7706063,5.1722995e+23,29,196.99188,,999,-22.782974,3.7764894e-18,16,28971,-10.0,-27.891436,8.504261e-06,inf,999.0,6.792824,,-8.899799,13.390622615814209,7.6560237e+24,-1.7928236,0.14999999
-1.0,1.8398653e+24,27.878124,-9.024466,2.7706063,30,1.5,,-1.0871286,-2.7706063,5.785446e+23,30,203.07901,,999,-58.66324,3.906727e-18,16,29970,-10.0,-28.9242,7.94676e-06,inf,999.0,6.7693005,,-12.714871,13.94406008720398,7.9200214e+24,-1.7693003,0.14999999
-1.0,8.7943653e+24,27.878124,-9.057256,2.7706063,31,1.5,,-1.5706747,-2.7706063,8.622213e+23,31,209.64969,,999,-58.696026,4.036941e-18,16,30969,-10.0,-29.89226,7.4423347e-06,inf,999.0,6.762893,,-10.634379,14.448472738265991,8.7943653e+24,-1.7628931,0.14999999
-1.0,0.42638874,27.878124,-9.0890045,2.7706063,32,1.5,,-1.526898,-2.7706063,8.6220846e+23,32,216.17657,,999,0.21457477,4.1671692e-18,16,31968,-10.0,-28.959633,6.984457e-06,inf,999.0,6.755518,,-12.828345,14.9347243309021,9.078029e+24,-1.7555182,0.14999999
-1.0,8.859385e+24,27.878124,-9.119776,2.7706063,33,1.5,,-1.6004549,-2.7706063,1.1306621e+24,33,222.77704,,999,-58.75855,4.297383e-18,16,32967,-10.0,-29.870342,6.5675695e-06,inf,999.0,6.750819,,-10.669193,15.424933195114136,9.361731e+24,-1.7508193,0.14999999
-1.0,8.6563835,27.878124,-9.14963,2.7706063,34,1.5,,-2.2864194,-2.7706063,1.1306511e+24,34,230.06346,,999,-2.8585994,4.4276108e-18,16,33966,-10.0,-29.08404,6.186923e-06,inf,999.0,6.7665725,,-10.092903,15.932947397232056,9.6453915e+24,-1.7665724,0.14999999
