IWFirstEpisode,TimestepsSoFar,MinEpLen,NumTrajectories,MountainCar_mu0_higher,MountainCar_std1_higher,Regret,IWLastEpisode,IWMin,ReturnMean,ActionIn1,ReturnLastEpisode,IWMax,ReturnAbsMax,IWMean,Bound,NumTrainableParams,DenMISEMeanLog,MountainCar_std0_higher,DenMISELogFirst,AvgEpLen,MountainCar_mu1_higher,Iteration,GridSize,Regret/t,DenMISELogLast,ReturnMax,Delta,TimeElapsed,ReturnStepMax,ReturnMin
5.1093996e-20,999,999,1,-1.0,1.5,5.0059967,5.1093996e-20,,-0.005996606,-10.832827,-0.005996606,5.1093996e-20,0.005996606,5.1093996e-20,inf,2,1.6504701,0.14999999,1.6504701,999.0,-10.0,1,400,5.0059967,1.6504701,,0.0030396353,0.38755035400390625,0.06037316,-0.005996606
1.0218824e-19,1998,999,2,-1.0,1.5,11.637262,0.23813374,,-0.81863123,-11.5212965,-1.6312659,0.23813374,1.6312659,0.11906687,inf,,0.9543411,0.14999999,0.95732296,999.0,-10.0,2,400,5.818631,0.9513593,,0.0007599088,1.606475591659546,16.516813,-1.6312659
1.532822e-19,2997,999,3,-1.0,1.5,18.53166,45.881893,,-1.1772199,-7.881773,-1.894397,45.881893,1.894397,15.3534975,inf,,-0.8140057,0.14999999,0.5518578,999.0,-10.0,3,400,6.17722,-4.2329164,,0.0003377373,2.761721134185791,19.279865,-1.894397
2.0437618e-19,3996,999,4,-1.0,1.5,24.756824,1.4748071e+23,,-1.1892064,-11.1175585,-1.2251658,1.4748071e+23,1.894397,3.6870178e+22,inf,,-14.785618,0.14999999,0.26417577,999.0,-10.0,4,400,6.189206,-56.64834,,0.0001899772,3.847106695175171,19.279865,-1.894397
2.5547047e-19,4995,999,5,-1.0,1.5,31.536045,0.21033578,,-1.307209,-11.534153,-1.7792197,1.8435037e+23,1.894397,3.6870074e+22,inf,,-11.656259,0.14999999,0.041032206,999.0,-10.0,5,400,6.307209,1.1783853,,0.00012158541,5.0277934074401855,19.279865,-1.894397
3.06564e-19,5994,999,6,-1.0,1.5,38.14875,489.3337,,-1.3581247,-11.627556,-1.6127034,2.2122085e+23,1.894397,3.6870141e+22,inf,,-10.8818245,0.14999999,-0.14128935,999.0,-10.0,6,400,6.3581247,-6.767475,,8.443432e-05,6.222250461578369,19.279865,-1.894397
3.5765842e-19,6993,999,7,-1.0,1.5,44.944405,1209.8276,,-1.4206291,-11.158888,-1.795655,2.5809032e+23,1.894397,3.6870047e+22,inf,,-10.433427,0.14999999,-0.29544002,999.0,-10.0,7,400,6.420629,-7.5474257,,6.203337e-05,7.385945081710815,19.279865,-1.894397
4.0875176e-19,7992,999,8,-1.0,1.5,51.954327,0.15209717,,-1.494291,-9.396262,-2.0099242,2.9496099e+23,2.0099242,3.6870123e+22,inf,,-8.96358,0.14999999,-0.4289714,999.0,-10.0,8,400,6.494291,1.4893141,,4.74943e-05,8.539702653884888,20.341354,-2.0099242
4.598455e-19,8991,999,9,-1.0,1.5,58.803226,1.7730965e+23,,-1.5336919,-10.461142,-1.848899,3.31831e+23,2.0099242,5.6571183e+22,inf,,-14.032714,0.14999999,-0.5467545,999.0,-10.0,9,400,6.533692,-54.444706,,3.7526363e-05,9.74036955833435,20.341354,-2.0099242
5.109402e-19,9990,999,10,-1.0,1.5,64.7449,0.29409856,,-1.4744904,-13.252996,-0.94167703,3.687016e+23,2.0099242,5.4478252e+22,inf,,-12.795413,0.14999999,-0.652115,999.0,-10.0,10,400,6.47449,-1.5304755,,3.0396353e-05,10.916603088378906,20.341354,-2.0099242
5.620343e-19,10989,999,11,-1.0,1.5,71.206795,1.2994496e+24,,-1.4733449,-10.481092,-1.4618917,1.2994496e+24,2.0099242,1.70919e+23,inf,,-16.884424,0.14999999,-0.74742514,999.0,-10.0,11,400,6.473345,-57.65994,,2.5120953e-05,12.16581106185913,20.341354,-2.0099242
6.1312943e-19,11988,999,12,-1.0,1.5,78.169586,69.68617,,-1.5141319,-13.566661,-1.9627876,1.4175785e+24,2.0099242,1.6952401e+23,inf,,-15.882843,0.14999999,-0.83443654,999.0,-10.0,12,400,6.514132,-4.6671834,,2.110858e-05,13.323415279388428,20.341354,-2.0099242
6.6422174e-19,12987,999,13,-1.0,1.5,84.86517,1.911341e+24,,-1.5280902,-11.136688,-1.6955904,1.911341e+24,2.0099242,3.153805e+23,inf,,-19.123196,0.14999999,-0.91447926,999.0,-10.0,13,400,6.5280905,-57.826992,,1.7986009e-05,14.545520067214966,20.341354,-2.0099242
7.153158e-19,13986,999,14,-1.0,1.5,91.5674,0.23680303,,-1.5405282,-8.89352,-1.7022195,2.0583674e+24,2.0099242,3.14385e+23,inf,,-17.701584,0.14999999,-0.9885872,999.0,-10.0,14,400,6.5405283,1.0249486,,1.5508342e-05,15.689147233963013,20.341354,-2.0099242
7.664096e-19,14985,999,15,-1.0,1.5,98.48462,3.9392094e+24,,-1.5656415,-10.993169,-1.917228,3.9392094e+24,2.0099242,5.7614154e+23,inf,,-20.401285,0.14999999,-1.0575801,999.0,-10.0,15,400,6.5656414,-57.970093,,1.3509492e-05,16.870624542236328,20.341354,-2.0099242
8.175055e-19,15984,999,16,-1.0,1.5,105.38505,0.10745068,,-1.5865656,-10.231164,-1.9004287,4.2018172e+24,2.0099242,5.753946e+23,inf,,-19.026114,0.14999999,-1.1221186,999.0,-10.0,16,400,6.5865655,1.8815325,,1.1873575e-05,18.10745358467102,20.341354,-2.0099242
8.685984e-19,16983,999,17,-1.0,1.5,112.235016,37887.68,,-1.60206,-9.942832,-1.8499691,4.4644415e+24,2.0099242,5.7474074e+23,inf,,-18.570484,0.14999999,-1.1827432,999.0,-10.0,17,400,6.60206,-11.018686,,1.0517769e-05,19.302536487579346,20.341354,-2.0099242
9.196933e-19,17982,999,18,-1.0,1.5,119.84411,507609230000000.0,,-1.6580061,-9.736839,-2.6090896,4.7270424e+24,2.6090896,5.741592e+23,inf,,-19.53499,0.14999999,-1.2399017,999.0,-10.0,18,400,6.658006,-35.685894,,9.381591e-06,20.505313396453857,26.28789,-2.6090896
9.707859e-19,18981,999,19,-1.0,1.5,127.50485,2.8142755e+20,,-1.7107817,-13.74775,-2.6607406,4.9896673e+24,2.6607406,5.7365836e+23,inf,,-21.105925,0.14999999,-1.2939689,999.0,-10.0,19,400,6.7107816,-49.151283,,8.420043e-06,21.764965772628784,26.653421,-2.6607406
1.021879e-18,19980,999,20,-1.0,1.5,134.25739,2.3711645e+24,,-1.7128689,-7.5493712,-1.7525291,5.252277e+24,2.6607406,6.917517e+23,inf,,-22.974457,0.14999999,-1.3452622,999.0,-10.0,20,400,6.7128687,-58.257774,,7.5990883e-06,23.033220529556274,26.653421,-2.6607406
1.0729727e-18,20979,999,21,-1.0,1.5,140.66652,7.6509975e+23,,-1.6984056,-9.075408,-1.4091382,5.5148893e+24,2.6607406,7.277659e+23,inf,,-24.669262,0.14999999,-1.3940523,999.0,-10.0,21,400,6.6984057,-58.306564,,6.892597e-06,24.265352249145508,26.653421,-2.6607406
1.1240669e-18,21978,999,22,-1.0,1.5,147.58311,6.761006e+24,,-1.7083236,-11.886864,-1.916601,6.761006e+24,2.6607406,1.0347047e+24,inf,,-26.213745,0.14999999,-1.4405724,999.0,-10.0,22,400,6.7083235,-58.353085,,6.2802383e-06,25.557220935821533,26.653421,-2.6607406
1.1751618e-18,22977,999,23,-1.0,1.5,154.64528,450161.9,,-1.7237076,-9.809082,-2.062157,7.068331e+24,2.6607406,1.0343597e+24,inf,,-25.67877,0.14999999,-1.4850241,999.0,-10.0,23,400,6.7237077,-13.581708,,5.7460034e-06,26.93716025352478,26.653421,-2.6607406
1.2262571e-18,23976,999,24,-1.0,1.5,161.42139,496921480000.0,,-1.725891,-10.788286,-1.7761095,7.375657e+24,2.6607406,1.03404434e+24,inf,,-25.772133,0.14999999,-1.5275837,999.0,-10.0,24,400,6.725891,-27.6066,,5.277145e-06,28.24655818939209,26.653421,-2.6607406
