GridSize,ReturnMean,Iteration,ReturnAbsMax,AvgEpLen,DenMISELogFirst,MountainCar_std1_higher,DenMISELogLast,ReturnMin,NumTrainableParams,IWLastEpisode,ReturnMax,MountainCar_mu1_higher,NumTrajectories,MountainCar_std0_higher,TimestepsSoFar,Delta,ReturnStepMax,Regret,DenMISEMeanLog,IWMax,MountainCar_mu0_higher,ReturnLastEpisode,Bound,IWMin,MinEpLen,TimeElapsed,IWMean,ActionIn1,IWFirstEpisode,Regret/t
1,-0.005996606,1,0.005996606,999.0,1.6504701,1.5,1.6504701,-0.005996606,2,5.1093996e-20,,-10.0,1,0.14999999,999,0.060792707,0.06037316,5.0059967,1.6504701,5.1093996e-20,-1.0,-0.005996606,inf,,999,0.5074715614318848,5.1093996e-20,-10.832827,5.1093996e-20,5.0059967
4,-0.81863123,2,1.6312659,999.0,0.95732296,1.5,0.9513593,-1.6312659,,0.23813374,,-10.0,2,0.14999999,1998,0.0060792705,16.516813,11.637262,0.9543411,0.23813374,-1.0,-1.6312659,inf,,999,1.1055705547332764,0.11906687,-11.5212965,1.0218824e-19,5.818631
4,-1.1772199,3,1.894397,999.0,0.5518578,1.5,-4.2329164,-1.894397,,45.881893,,-10.0,3,0.14999999,2997,0.0027018983,19.279865,18.53166,-0.8140057,45.881893,-1.0,-1.894397,inf,,999,1.6089072227478027,15.3534975,-7.881773,1.532822e-19,6.17722
4,-1.1892064,4,1.894397,999.0,0.26417577,1.5,-56.64834,-1.894397,,1.4748071e+23,,-10.0,4,0.14999999,3996,0.0015198176,19.279865,24.756824,-14.785618,1.4748071e+23,-1.0,-1.2251658,inf,,999,2.147373676300049,3.6870178e+22,-11.1175585,2.0437618e-19,6.189206
9,-1.307209,5,1.894397,999.0,0.041032206,1.5,1.1783853,-1.894397,,0.21033578,,-10.0,5,0.14999999,4995,0.00048634165,19.279865,31.536045,-11.656259,1.8435037e+23,-1.0,-1.7792197,inf,,999,2.608593463897705,3.6870074e+22,-11.534153,2.5547047e-19,6.307209
9,-1.3581247,6,1.894397,999.0,-0.14128935,1.5,-6.767475,-1.894397,,489.3337,,-10.0,6,0.14999999,5994,0.0003377373,19.279865,38.14875,-10.8818245,2.2122085e+23,-1.0,-1.6127034,inf,,999,3.1410880088806152,3.6870141e+22,-11.627556,3.06564e-19,6.3581247
9,-1.4206291,7,1.894397,999.0,-0.29544002,1.5,-7.5474257,-1.894397,,1209.8276,,-10.0,7,0.14999999,6993,0.00024813347,19.279865,44.944405,-10.433427,2.5809032e+23,-1.0,-1.795655,inf,,999,3.643995523452759,3.6870047e+22,-11.158888,3.5765842e-19,6.420629
9,-1.494291,8,2.0099242,999.0,-0.4289714,1.5,1.4893141,-2.0099242,,0.15209717,,-10.0,8,0.14999999,7992,0.0001899772,20.341354,51.954327,-8.96358,2.9496099e+23,-1.0,-2.0099242,inf,,999,4.122224569320679,3.6870123e+22,-9.396262,4.0875176e-19,6.494291
9,-1.5336919,9,2.0099242,999.0,-0.5467545,1.5,-54.444706,-2.0099242,,1.7730965e+23,,-10.0,9,0.14999999,8991,0.00015010545,20.341354,58.803226,-14.032714,3.31831e+23,-1.0,-1.848899,inf,,999,4.56763219833374,5.6571183e+22,-10.461142,4.598455e-19,6.533692
16,-1.4744904,10,2.0099242,999.0,-0.652115,1.5,-1.5304755,-2.0099242,,0.29409856,,-10.0,10,0.14999999,9990,7.152084e-05,20.341354,64.7449,-12.795413,3.687016e+23,-1.0,-0.94167703,inf,,999,5.048672437667847,5.4478252e+22,-13.252996,5.109402e-19,6.47449
